nombre, direccion,ruc,representante_dni,telefono
Cigna Corp,Agtuf Road 794,10246188268,71025564,2489543
"Becton, Dickinson and Company",Dahum Path 600,20324141175,64086776,6773396
Providian Financial Corp.,Sofvak Grove 710,20991666215,93548634,3159426
Republic Services Inc,Powun Key 635,20332928643,25896905,2581843
Community Health Systems Inc.,Lemi Avenue 390,10589855276,25196325,3286953
Johnson & Johnson,Ahnuv Way 576,20944448255,47014350,949612273
Value City Department Stores Inc,Rula Pike 235,10549288723,11392287,6617493
St. Jude Medical Inc,Kafpuh Pike 390,10863348232,04782301,957136225
Timken Company,Owapu Square 484,10668237513,07741303,949314495
Home Depot Inc.,Erlo Pass 815,10898164286,90329872,4955237
Dean Foods Company,Ujavel Square 583,10423583478,66457999,4952842
Martin Marietta Materials Inc.,Kuoj Extension 229,10388533527,16335198,6418384
E.I. Du Pont de Nemours and Company,Vuwlel Key 351,10454847896,25770087,921714236
Entergy Corporation,Gobme Extension 478,20934399661,86021998,6411547
Genuity Inc.,Zonam Park 484,20444778752,31796180,5419915
Mercury General Corporation,Pihlub Grove 837,20226515791,09109257,974666438
Ryerson Tull Inc,Julovo Loop 779,10647554591,75593762,3569811
WorldCom Inc,Sacuh View 710,20932115519,71025459,5852486
Ingram Micro Inc.,Saoc Street 998,20418641215,01560636,959442417
Markel Corporation,Focgo Parkway 903,10867178238,43519646,2583745
Calpine Corp.,Vacte Pike 106,10882759731,34360761,975934894
Arkansas Best Corporation,Nizpa Turnpike 132,20648631176,82367258,937464325
The Clorox Co.,Waski Drive 134,10185368585,83736655,987231223
"Aquila, Inc.",Ubado Path 027,20263917592,65563752,6996923
International Paper Co.,Wofje Junction 576,10153748676,36681774,3344168
Weatherford International Inc,Fion Avenue 560,10748936281,47775288,931975194
Toll Brothers Inc,Zipec Heights 556,10184994296,59013000,972417824
Praxair Inc,Zevij Park 479,10796382767,66857046,4172123
MasTec Inc.,Pitje Glen 742,20843475339,01983556,917492576
Maxxam Inc.,Zumha Glen 406,20836949592,12603381,975597288
Trans World Entertainment Corp.,Lovno Grove 126,10115636745,44019007,2322246
DTE Energy Co.,Icdor Junction 638,10577184183,71944762,5627924
"Big Lots, Inc.",Mioj Point 765,20965555362,91894474,5468947
Metaldyne Corporation,Ifru Terrace 038,10251413521,17168877,942954437
RPM Inc.,Kehgil Center 452,10739188593,35086434,955387888
"Amkor Technology, Inc.",Havnen Square 651,10911874512,99879046,963441971
Mariner Health Care Inc.,Bikiw Street 721,20676218284,11893872,955995774
CMGI Inc.,Kiginu Drive 592,20841777469,25506745,4819233
Tecumseh Products Company,Viku Glen 819,20899833383,57678892,3692673
CSK Auto Corp.,Gakvu Way 416,10913669167,07065807,936648444
E.W. Scripps Company,Naro Center 503,20227794751,16322298,945926758
DPL Inc.,Zinez Lane 389,10467889158,33886907,957276225
Staples Inc,Zoksu Plaza 470,20478613883,38862350,4689316
Cooper Cameron Corp.,Tuwmu Center 018,20241618393,20538472,5463882
Foamex International Inc,Socad Glen 192,20293699373,26267818,3581839
United Stationers Inc,Fuzro Road 626,10587124226,30477052,3556268
Avaya Inc.,Rubdof Square 180,10646882779,10381890,953129765
"AutoNation, Inc.",Jiskos Mill 826,10473647897,68155461,2364461
AmerisourceBergen Corporation,Gerva Path 518,20931913113,23957785,982115347
Merrill Lynch & Co. Inc.,Tukwuw Grove 935,10978397195,32889462,2296731
Teradyne Inc,Nojhef Plaza 275,10881351939,01663762,5575388
Ashland Inc.,Kagi Boulevard 977,20691248213,96204656,937849743
MBNA Corporation,Wate Way 850,10551129324,03831572,2319562
Delta Air Lines Inc.,Dupkuz Street 777,20833327212,55818064,5679583
Outback Steakhouse Inc.,Lokaz Court 771,20793586332,50982595,939477477
United Auto Group Inc,Esadic Loop 857,20222188795,04909389,5316861
Stein Mart Inc,Pizu Circle 451,10218453843,26511788,6918143
Riverwood Holding Inc.,Lonvic Highway 532,10736638356,97378059,2966751
IMC Global Inc.,Figji Key 479,10366532466,29546910,998329629
Comverse Technology Inc.,Imese Way 072,10142496119,90029971,946569177
Stewart Information Services Corp,Bade Center 889,10645669516,23621171,5486414
US Oncology Inc,Vetad Parkway 787,20996933974,17107749,2425594
The May Department Stores Company,Pebe Manor 147,10186255326,84532776,2652692
Zions Bancorporation,Pako Court 417,20955257988,00073375,942619265
"Avnet, Inc.",Mawi Parkway 857,10288327238,61382467,931959964
Devon Energy Corporation,Wiaba Extension 658,20787419713,61931147,949212375
Cendant Corp,Peveh Drive 142,10591367912,49094219,3549792
Household International Corp.,Kihe Parkway 039,20834791178,07173812,2657146
Zions Bancorporation,Imude Street 763,10297323624,20163770,4563732
"Alaska Air Group, Inc.",Adomub River 429,10239242243,32255043,4515993
Ingles Market Inc,Elika Avenue 749,10419355268,77148888,978282476
General Dynamics Corporation,Pusiz Square 011,10322714577,32286067,6176612
First National of Nebraska Inc.,Dumupa Street 793,20687283233,45010349,5886499
"Apple Computer, Inc.",Vimog Circle 394,20496613269,76132536,6216943
Harman International Industries Inc.,Vegi Square 868,10671566629,17306763,924697888
Greif Bros. Corporation,Fajat Square 440,20643294959,32101662,5946529
Gentiva Health Services Inc.,Salda Pike 128,20928483384,77098347,956397767
Tower Automotive Inc.,Hakmo Point 909,10278298942,54588989,974361562
Hughes Supply Inc.,Paihu Square 040,20614689985,81859514,917974417
Outback Steakhouse Inc.,Difdol Glen 713,20514818161,16567189,918644188
Wendy's International Inc,Uzjil River 376,10115289234,34963997,3266617
Hartford Financial Services Group Inc.,Wavu Park 438,10169945784,88342252,983281972
Smurfit-Stone Container Corp,Zivo Court 964,20464382376,34856887,929767693
Harris Corp.,Zamwiv Extension 698,10589732225,14532034,928787642
USFreighways Corporation,Hemu Trail 007,10238916271,59769131,976592336
Ryder System Inc,Ziaru Pike 636,20394423887,43170844,981512637
Harsco Corp.,Odifu Court 928,10539687679,22696290,943979384
Conseco Inc.,Gaska Loop 348,10999426443,94146739,4443884
"Anheuser-Busch Companies, Inc.",Usaso Ridge 974,20622717247,17844338,969246886
Viacom Inc,Muwi Plaza 688,20779248414,46887970,969162742
"Amazon.com, Inc.",Ijikol Drive 522,10833121798,74021154,972525394
Danaher Corporation,Kopav View 634,10321383783,50352876,968573823
"American Axle & Manufacturing Holdings, Inc.",Lahlo Boulevard 644,10587634921,94106576,4615148
Ashland Inc.,Opiker Ridge 394,20554688915,18117042,5772942
CKE Restaurants Inc.,Ogodu Pike 618,10564824873,98319923,6391928
Compuware Corp.,Ludveh Boulevard 140,20428752376,17732078,6136117
SunTrust Banks Inc,Ilazij Court 671,20441129931,46683102,951759688
Paccar Inc,Secla Lane 450,10223418591,63651503,4311339
Fortune Brands Inc.,Totkah Mill 870,10118732774,23917681,3157534
Concord EFS Inc.,Feiga Place 939,10259656713,73140102,4282464
Berkshire Hathaway Inc.,Nabzan Court 608,20255326556,31874838,977693571
CMGI Inc.,Voaba Drive 696,20467455246,27327281,2419774
Cendant Corp,Tekot Lane 273,20272119333,75157974,926385691
Rockwell Automation Inc,Uramu Turnpike 335,10292581755,82964707,976384925
The Black & Decker Corporation,Jehe Street 686,20963791597,40273910,953183362
Maxim Integrated Products Inc.,Irine Square 193,20413779227,35998754,6533265
Pfizer Inc,Tinguz Path 600,10838755972,75669301,3717322
The McGraw-Hill Companies Inc.,Lubfu Manor 683,10388981982,46812150,3452696
Boise Cascade Corporation,Siejo Loop 054,20854656523,95700566,921493713
Waste Management Inc,Meuw Square 936,20845275353,86769719,943482283
PNM Resources Inc,Backub View 516,20434183889,44319637,3215852
Corn Products International Inc.,Igioka Parkway 460,20392157611,17371351,941225158
Ocean Energy Inc,Denud Key 490,20511571384,05293845,918891133
"BMC Software, Inc.",Ipbo Place 250,10154951178,13909303,4791198
FMC Corp,Alave View 165,20496638267,87648676,3244285
Pride International Inc,Avtuh Extension 077,20247285888,30143301,2217614
First Tennessee National Corp.,Dowsun Plaza 190,20516757955,87287092,4917675
Fleetwood Enterprises Inc.,Onfic Way 651,20841468581,27273733,4968176
Cox Communications Inc.,Dibsa Avenue 892,10497368655,97638569,993266247
WPS Resources Corporation,Rezun Square 860,10766963483,06104294,6741342
Mail-Well Inc.,Defew Boulevard 514,10772532771,05246850,971528779
"Avon Products, Inc.",Huhbel Glen 701,10729998493,61611846,6135141
Metals USA Inc.,Kusid Park 702,10962364111,74606808,4651587
Conoco Inc,Wokvip Glen 506,20824919117,94155729,5321876
"Banknorth Group, Inc.",Hocud Road 432,20623924979,90436908,923296238
Wm Wrigley Jr Company,Pedce Way 289,20532246516,37550169,943674651
Anixter International Inc.,Todli Ridge 153,20338194755,04900766,6123654
Jabil Circuit Inc.,Waet River 695,10353526167,41570181,978349468
Paychex Inc,Diwek Road 866,10462286672,66121246,4219119
Charles Schwab Corp.,Guid Key 521,20946332833,98590329,5664728
Wal-Mart Stores Inc,Nesi Square 465,10669179994,18508703,999648177
Tesoro Petroleum Corp.,Gasiwi Circle 302,10277821696,31012035,964339331
Dynegy Inc.,Honce Loop 048,10186332452,13470199,5957581
Viad Corp,Gulcok Road 529,10938619329,82168185,956944361
Pathmark Stores Inc.,Juwu Manor 400,10492331783,31030372,937931776
Sunoco Inc.,Tunga Key 366,20461793869,11132477,4985467
Outback Steakhouse Inc.,Vazuz Point 581,10264253582,30191134,928151132
"Amtran, Inc.",Unaam View 466,10978397724,61515039,937945452
R.R. Donnelley & Sons Company,Raibo Turnpike 208,20982414511,97491529,3613823
SLM Corporation,Jeva Heights 576,10654215283,93700375,953341354
Jones Apparel Group Inc.,Adzo Road 602,20662926619,68099738,969618328
"Applied Industrial Technologies, Inc.",Fiewe Manor 972,10781756655,42130508,921412543
McKesson Corporation,Ipvu Key 799,20143266814,97161260,3353546
Vishay Intertechnology Inc,Gecal Trail 266,20691335621,55757735,985669461
"Dover Corporation, Inc.",Dozuc Lane 423,20718289612,10996189,951685244
"ALLETE, Inc.",Zode Road 282,20656281516,59563665,4889436
Expeditors International of Washington Inc.,Dodec Way 339,20399847315,54134232,2478372
Johnson Controls Inc.,Wiko Mill 389,10787571991,72712178,993128122
Fleming Companies Inc.,Ticfi Park 808,10789784598,47952485,2782934
Bausch & Lomb Incorporated,Usla Ridge 611,20519198716,58138201,2981611
AMR Corporation,Emowab Highway 226,20278826149,86144612,981939376
Phillips Van Heusen Corp.,Johuf View 840,10663415823,07446575,942174288
SLM Corporation,Natev Drive 006,10882441251,95200803,949634649
Hershey Foods Corp.,Jobgo Path 928,20546141414,31199910,3635341
FleetBoston Financial Co.,Cofda Highway 246,10622662632,65229660,953265333
"Applied Materials, Inc.",Lauh Boulevard 867,10581388674,21639441,6266415
J.B. Hunt Transport Services Inc.,Rozfu Street 081,20934593837,91523791,913845124
Pepsi Bottling Group Inc.,Fazzip Glen 981,20763183294,67949199,915676442
Trump Hotels & Casino Resorts Inc.,Babek Highway 622,20663633435,07488531,996564357
Black Hills Corporation,Laso View 023,20436853248,73256620,6736382
Furniture Brands International Inc.,Rolgoh Lane 146,20372382792,48092964,2195676
Procter & Gamble Co.,Harvo Street 629,20413125413,54336024,969529293
Humana Inc.,Kapze Trail 774,10974632137,94750776,5228352
Knight-Ridder Inc.,Imdij Street 656,10236442654,89043624,954677694
Ohio Casualty Corp.,Urvuj Junction 812,10354998839,17677387,2295922
Lennar Corporation,Koces Key 394,10235173798,25189091,993578633
Fleming Companies Inc.,Uppi Center 691,10672577461,35479591,4679156
Pride International Inc,Rutot Place 237,20365415533,47046948,5642126
Arkansas Best Corporation,Cunpo Court 136,20428818459,40257537,2184456
Publix Super Markets Inc.,Uzaso Plaza 934,20875838747,61529515,994183242
TRW Inc,Totzin Key 687,20151113176,02055410,952477171
Alliant Energy Corporation,Etuafi Key 806,10393813869,35260862,971767958
Rockwell Collins Inc,Jahno River 805,20558375597,52810466,2843798
CellStar Corp.,Urcak Way 810,20736734939,98498350,4481184
Southwest Gas Corp,Hijav Turnpike 144,20799274117,05774220,6254776
Allmerica Financial Corporation,Fomit Avenue 244,10828553843,90577735,949264185
Prudential Financial Inc.,Bavi Street 190,10538597385,91809544,915659388
Trinity Industries Inc,Tose Trail 577,10413112996,41919533,949495544
Silicon Graphics Inc,Geago Drive 045,10173559985,55307326,957115192
StanCorp Financial Group Inc,Butud Turnpike 284,20429491725,81386004,5619441
Stein Mart Inc,Mepeg Lane 666,20864332972,16359545,6631933
"Apple Computer, Inc.",Aleh Court 136,20453789117,86840512,925427618
International Multifoods Corporation,Udwed Avenue 152,20668188129,85897965,915918841
Aon Corporation,Duriri Point 972,20911847753,78799275,4826969
Scana Corp.,Fosgid Loop 872,10876199532,88621186,4938485
"Autoliv, Inc.",Ifag Road 124,10573417599,52161123,6888955
Golden West Financial Corporation,Buun Circle 198,10966541235,69824971,969627152
USFreighways Corporation,Ufodi Terrace 740,10557474736,56014484,917745291
"The Bank of New York Company, Inc.",Wikhob Avenue 200,10759849614,27313785,5567417
IMC Global Inc.,Kakca Park 405,20584339348,61826094,4845397
Universal Corporation,Tihoke Glen 360,10419728557,19864518,4388977
"American Water Works Company, Inc.",Lebwo View 836,20451716664,49925757,5684781
Triad Hospitals Inc,Adatuz Place 899,10826159735,26482904,961774887
Unocal Corporation,Oceda Junction 616,20962628494,24223439,2262629
Medtronic Inc.,Wumo Heights 670,20425984736,21733277,5681457
Hasbro Inc.,Wecma Extension 606,10217239487,65896646,973433135
CNF Inc.,Elame Lane 011,10699825831,63087438,937412191
Bed Bath & Beyond Inc.,Ocdi Place 263,20469347976,39030480,4242273
"Armstrong Holdings, Inc.",Tijit River 313,20335675481,96752509,925512761
Tech Data Corporation,Irire Turnpike 006,20427685832,90738997,945765567
Amgen Inc.,Pazu Circle 596,10563975466,89100731,932212568
"Dole Food Company, Inc.",Tunotu Trail 861,20811796791,76909950,998878115
John Hancock Financial Services Inc.,Rufluk Junction 783,20156231425,00503021,3831714
URS Corporation,Vooga Way 262,10399188259,03850276,2667263
Abercrombie & Fitch Co.,Jejodi Place 462,10995744427,73578494,3896226
"Conectiv, Inc",Bowru Junction 704,10226255922,66309355,992757785
Rent A Center Inc,Lupa Circle 439,10748964899,44329780,3897762
Michaels Stores Inc.,Ujloz Place 139,10555596377,90216057,953513779
First Data Corp.,Tede Square 306,10876349722,40535715,5519623
Expeditors International of Washington Inc.,Hamaf Heights 418,10495197626,17642368,953491222
Noble Energy Inc,Risaw Avenue 659,20886457858,92840991,993336663
Trans World Entertainment Corp.,Bowus Center 220,20435738367,59705761,915364183
Concord EFS Inc.,Iduwo Junction 136,20496138933,13775867,938124199
J.C. Penny Co.,Lohah Manor 055,10278575483,59452105,953143761
Southwest Airlines Co,Koslim Trail 665,10174956676,31139219,932733925
Toys 'R' Us Inc,Racvic Terrace 820,10293693778,90979504,956895658
The Allstate Corporation,Vaefe Center 189,10764583379,68312252,959883253
Nash Finch Company,Otbif View 279,20752122831,58482794,978571129
Vishay Intertechnology Inc,Dolno Pass 934,20444345851,34564885,6974133
Household International Corp.,Rage Boulevard 336,20138192762,33533848,985568812
United Rentals Inc,Pefjij Parkway 563,10736844157,12523678,958327276
Owens & Minor Inc.,Ufato Junction 074,20616578976,76925178,922338469
Office Depot Inc.,Sofo Heights 867,20954556999,08937366,6855473
Fifth Third Bancorp,Fagtud Street 240,20194448289,55413074,3213813
Reader's Digest Association Inc.,Havvi Loop 312,10224827749,86239491,3455986
Scotts Company,Povu Junction 166,20935286623,09889735,982921944
Smith International Inc,Dofwec Trail 413,20118489234,85962478,964643552
Providian Financial Corp.,Ilueg Plaza 896,10829365428,08249113,943277976
"E*Trade Group, Inc.",Maev Point 932,10147523175,18293296,993168849
USFreighways Corporation,Jarzaw River 211,10748715183,42643152,6241236
Novellus Systems Inc,Fezbud Park 535,20286363314,97896393,3491693
Toro Company,Junot Lane 836,10686176188,74216878,4997513
Universal Health Services Inc,Pujag Drive 207,20877961385,02399219,988142748
Aon Corporation,Himsag Drive 506,10691655697,81842148,5873591
FirstEnergy Corp.,Repe Mill 008,20921421542,77165074,2911765
"Dollar Tree Stores, Inc.",Reda Street 676,20118169875,01059502,3298889
Stein Mart Inc,Waje Way 876,10633964984,14402383,2276965
World Fuel Services Corporation,Ezouj Extension 757,20489195448,98737275,954246135
ChevronTexaco Corp.,Hiro Pass 934,20222999545,77461280,954867938
Scientific-Atlanta Inc,Obse Pass 812,10499521488,27917953,957248855
Phillips Van Heusen Corp.,Izgu Street 314,20272572326,48116458,997431242
Providian Financial Corp.,Leboj Extension 286,20165419828,48624168,4612358
Northeast Utilities System,Aksu Junction 126,10627876148,75860271,958738422
VF Corporation,Mere Loop 039,10179371459,90363639,5423367
"Dover Corporation, Inc.",Nagrup Street 775,20389528629,78626110,993312175
"Amazon.com, Inc.",Weana Trail 273,10234228385,31847330,925146447
Storage Technology Corporation,Wifu Drive 735,20721162447,22977919,5614124
Forest Laboratories Inc.,Gumuc Square 720,10192245361,84594363,924512759
SCI Systems Onc.,Tugti Pike 303,20574228973,86848257,987795395
Home Depot Inc.,Tulnam Way 948,20852881267,10970051,955656411
Baker Hughes Incorporated,Beer Loop 147,10169236971,94221799,6152152
Fifth Third Bancorp,Vumwup Heights 417,20475958295,37595900,992925217
"Dole Food Company, Inc.",Nelihe Point 164,10659662595,38271205,987196289
"Borders Group, Inc.",Wirah Circle 628,20253931635,16874865,913423488
RGS Energy Group Inc,Zifar Glen 258,10943475621,96061950,2776482
Ball Corporation,Binmos Glen 185,20369515362,04961495,963875643
Dollar General Corporation,Rihpeb Center 564,20642284573,67743333,4778431
General Cable Corporation,Bilos Park 119,10867515464,84983602,5494747
DTE Energy Co.,Puafu River 759,20981499861,60713799,931234362
Polaris Industries Inc.,Bekel View 108,20539973983,92569034,996143394
Tyson Foods Inc,Wien Path 473,10285955258,22690739,2169938
Constellation Emergy Group Inc.,Kerop Center 664,20553276336,82266167,4529471
Hewlett-Packard Company,Wesi Lane 931,10726886294,25540868,5181174
E.I. Du Pont de Nemours and Company,Tita Highway 819,10653599498,96196686,974422939
Tecumseh Products Company,Ecazaj Junction 856,10752214215,77560753,6545744
Petco Animal Supplies Inc.,Jegzub Pass 282,10311593991,81773750,932696796
Questar Corp,Letil View 744,10767736963,09829336,5674131
Cabot Corp,Nefne Trail 129,20583835312,88754657,982184664
W.W. Grainger Inc,Iveku Path 118,10918891129,92496439,2737744
Frontier Oil Corp,Nief Highway 842,20326498322,12831546,5672788
Jack In The Box Inc.,Tuna Path 714,20364323867,28319610,5862323
Packaging Corp. of America,Ubew River 985,10993944696,40979095,2729991
Watsco Inc,Sogu Court 702,20213474577,84921281,6815712
Eli Lilly and Company,Ajakot Center 726,10746916916,35139593,5456614
Family Dollar Stores Inc.,Zego Turnpike 939,20892165968,71334815,6663859
Valspar Corporation,Huon Glen 019,20117657846,89420192,933178437
"Cadence Design Systems, Inc.",Legir Boulevard 595,10485649117,53526080,923749591
"Armstrong Holdings, Inc.",Lurub View 461,20394362579,33888265,3677361
St. Paul Cos.,Roffo Pass 397,20571819861,02377999,949657382
Ciena Corp.,Hilfa Loop 922,10916817352,75052842,5739367
J.C. Penny Co.,Horor Way 909,20438565913,10368905,2651552
BorgWarner Inc.,Taho Manor 370,10113115792,60718376,3775444
Textron Inc,Remewa Key 476,10785276876,54449479,5871757
Granite Construction Incorporated,Vanteh Pass 298,10628867682,37689410,921481385
Regions Financial Corp.,Vobid Drive 453,10435744274,43191169,4652357
Equity Residential Properties Trust,Riec Highway 130,20716378877,53741850,4454771
El Paso Corporation,Zafuka Path 760,20163474442,34829731,2365935
Unitrin Inc,Vunbog Way 050,20921585139,28177205,6929981
Intuit Inc.,Zuhod Pass 306,20998761315,24407847,2341738
North Fork Bancorporation Inc,Jolu Loop 999,10698372658,69309358,918235843
Phillips Van Heusen Corp.,Nunku Path 564,20197175263,95298753,935611314
The McGraw-Hill Companies Inc.,Gior Turnpike 125,20662682163,40093321,962299449
USG Corporation,Poaj Parkway 354,20661563111,45363354,913441316
IMS Health Inc.,Raeho Glen 046,20237316611,50315665,937949383
Tenneco Automotive Inc.,Nokbik Key 537,20968862673,57189367,985837659
Abercrombie & Fitch Co.,Fenur Plaza 236,10566544461,24928944,993532197
Golden West Financial Corporation,Vovleh Glen 495,20597338653,61156033,6671531
Phar Mor Inc.,Iltum Turnpike 240,10828869439,45179835,3612996
Stanley Works,Ridja Turnpike 043,20332952999,97678095,912378552
Pactiv Corp,Uhcod Junction 818,20572395532,37019785,972472216
R.R. Donnelley & Sons Company,Ambow Boulevard 359,10993392493,38834681,3912857
Revlon Inc,Puwos Boulevard 486,20192358635,16156953,6315384
Group 1 Automotive Inc.,Dicar Plaza 498,10125746412,26738656,998331547
Millennium Chemicals Inc.,Jipez Lane 129,20516618879,93680855,979642748
Del Monte Foods Co,Vunbo Square 289,20367417363,17055804,6784354
"Arrow Electronics, Inc.",Ajoufi Key 696,20513761279,65725191,2853656
Atmel Corporation,Danir Street 082,10258392291,96874491,986155593
IT Group Inc.,Loto Park 977,20964331411,55217936,2152722
Snap-On Inc,Ekego Highway 356,20781186146,85610674,919868712
Foamex International Inc,Zarbeh Center 843,20884567536,01153629,3444767
Mail-Well Inc.,Opga Pike 421,20114356327,16655957,924257242
Textron Inc,Govuh Road 915,10728293776,34966507,944594268
Adelphia Communications Corporation,Vajaga Glen 051,10262412517,34142883,979255193
Champion Enterprises Inc.,Cadcef Trail 196,20675586285,99802453,986457873
BorgWarner Inc.,Ojtal Park 126,10581464136,75995786,4969468
Corning Inc.,Inina Pike 015,20649921312,45411854,2573138
Pittston Brinks Group,Pumdos Manor 608,20823631383,22901297,2918922
Intel Corporation,Wijeli Extension 475,10331561992,75609608,4372523
Hollywood Entertainment Corp.,Mebi Highway 935,10439239999,48977782,914236615
"Burlington Industries, Inc.",Lehig Highway 303,20343827448,87733864,943576264
Tower Automotive Inc.,Hegcab View 558,20269438886,61862315,5263614
MBNA Corporation,Onho River 843,10742411244,61664991,995448365
Procter & Gamble Co.,Vafvi Parkway 680,20363726689,21040787,992975551
ALLTEL Corporation,Agvap Boulevard 382,20525332273,45393302,942436584
Winn Dixie Stores Inc,Guna Loop 079,20964472942,16879819,936589331
Devon Energy Corporation,Takhe Highway 171,10531237632,26279266,928215712
SBC Communications Inc,Wobepu Center 483,10144346359,01421345,942972885
Supervalu Inc,Uvois Street 482,10319325618,44779681,981846779
Supervalu Inc,Gamo Circle 960,20714469461,28483787,3115935
Shaw Group Inc,Sepo Loop 746,20139438954,50642381,6363697
H.J. Heinz Company,Zeed Point 491,10694773737,54221229,961857399
The MONY Group Inc.,Sefi Street 058,20455176165,54694817,2811536
"BMC Software, Inc.",Dusan Point 088,10793592176,48406699,912199466
XO Communications Inc,Ihopot Drive 572,10138526392,93979247,2559439
IMS Health Inc.,Saen View 576,20472583421,16718240,939245621
American Express Company,Geti Turnpike 043,10735771545,80309041,942581286
Kroger Co.,Wame Square 682,20575782973,67540439,3474218
Cincinnati Financial Corp.,Mobe Trail 072,20171185861,22089839,4378283
Baker Hughes Incorporated,Liju Terrace 099,20834469751,77307611,977453179
Intuit Inc.,Cavbec Pass 579,10986225363,09601570,5667416
Olin Corp.,Egher Way 255,20225488525,78325148,941798127
Federated Department Stores Inc.,Wiwug Ridge 500,10592155139,10291920,954445834
Archer Daniels Midland Company,Upvup Avenue 820,20867349294,51684416,5382372
Peoples Energy Corp.,Fomab Park 551,20741218854,95674395,2732123
KeySpan Corp.,Jovgar Loop 319,20655928824,52986456,989191267
NiSource Inc,Ralije Place 243,20369199683,39034754,2192269
Burlington Northern Santa Fe Corporation,Zicsu Loop 111,20299197761,20712558,977423491
Commercial Metals Co.,Enipi Place 740,20235727521,99522181,947593365
Louisiana-Pacific Corporation,Hirab View 221,10171259961,32057437,4173631
Lam Research Corporation,Jiwoc Place 652,20545576584,69628127,918951345
J.B. Hunt Transport Services Inc.,Tuhvuz Avenue 530,20336447247,64739085,2165346
PepsiAmericas Inc.,Ticip Junction 678,10578226496,59444557,4845234
Flowers Foods Inc.,Cuhlud Pass 717,20451671235,98117820,941713654
Maxxam Inc.,Ifaec Key 159,20969792857,40350088,965995774
Quantum Corp,Cudan Plaza 174,20665434255,13807643,968693649
Anixter International Inc.,Ebva Square 374,20865783549,31804195,5448487
Massey Energy Company,Javif Street 919,10895879715,17201653,986359137
"Broadwing, Inc.",Gihec Ridge 392,20455854714,23082970,4611489
The Black & Decker Corporation,Tozfa Terrace 915,10652455196,19336662,2191582
CH2M Hill Cos. Ltd.,Kegi River 782,20513542388,06479031,4947618
Aetna Inc.,Edewoz Manor 023,10858651556,53734601,972835426
"Apple Computer, Inc.",Ubadib Junction 132,10657969961,24255931,4837415
Winn Dixie Stores Inc,Fikpil Circle 830,20598975326,13965016,992863993
Wendy's International Inc,Bida Boulevard 138,10623535426,93551090,937263135
Dial Corporation,Dolew Glen 541,10365183394,63989520,2135877
Stryker Corp,Gebja Avenue 970,10468693649,30982187,6386675
Perot Systems Corp,Rijcuf Loop 657,10957958349,38841908,959698192
The Black & Decker Corporation,Niavu Junction 959,20494371586,87522949,6281681
FleetBoston Financial Co.,Acpe Loop 219,10586153322,95740600,3482964
Greif Bros. Corporation,Rovaf Parkway 865,20484774179,80030124,2925946
"Albertson's, Inc.",Uvulo Point 331,20886414814,76065987,5298571
SouthTrust Corp.,Vuodu Terrace 496,20269478571,73210919,3634436
National City Corp.,Mukjo Grove 584,10416485936,02033377,3723435
IDT Corporation,Duab Park 475,10766852627,52341699,2993619
SunTrust Banks Inc,Hastaz Pass 138,10238179264,41232803,969679864
PSS World Medical Inc,Kupar Loop 177,10199217865,00410720,6257441
Nash Finch Company,Suam Highway 669,10264765147,81947596,923597279
U.S. Bancorp,Daiko Parkway 784,20693131945,17137749,6423212
Flowers Foods Inc.,Ifehom Turnpike 993,20589385998,74422693,5297266
Farmland Industries Inc.,Lihdip Pike 376,20874528859,98965854,6214626
Circuit City Stores Inc.,Siwdal Manor 148,10489818991,34825273,2331971
Morgan Stanley Dean Witter & Co.,Poeh Heights 230,10941447721,57644103,3456619
Wm Wrigley Jr Company,Labpop Heights 383,20527914683,57398639,988278574
"Earthlink, Inc.",Tapaw Path 756,20662914532,27725494,985987213
Dynegy Inc.,Ahuuc Circle 985,20924579342,44664971,5944752
MetLife Inc.,Mawu Plaza 350,10582696952,53820367,2653193
Alliant Energy Corporation,Ozca Road 003,10854577631,57923834,3889376
WGL Holdings Inc,Hajfeb View 225,10631958243,65173753,926455598
Pall Corp,Zevmam Park 439,20929347888,28804658,973421161
Toro Company,Ehebop River 791,10492176357,58536483,914639881
Computer Associates International Inc.,Gujhim Lane 239,20838195933,24759448,944894686
Tiffany & Co,Gaod Grove 764,10375644629,70221963,998526921
Avery Dennison Corporation,Kesga Manor 711,20141618375,79425839,4188672
Value City Department Stores Inc,Otde Loop 519,10977662141,91526523,966226116
Unocal Corporation,Dolev Court 179,10578616335,92102817,5559825
General Cable Corporation,Docen Highway 547,20496965322,65068292,6598955
Sierra Pacific Resources,Jukat Parkway 219,20198383752,89743695,925731872
America West Holdings Corporation,Meok Manor 322,20281823588,36426541,2214125
Dillard's Inc.,Wucu Parkway 151,10781453141,19059909,984233547
Praxair Inc,Wuvub Junction 767,10291676158,09680590,988912194
Pall Corp,Ohlim Extension 759,20596879998,17213302,4562472
Massey Energy Company,Vahiz Boulevard 976,20753364477,93670739,978784571
CVS Corp.,Cachi Glen 787,20745658258,55705498,992812453
National Commerce Financial Corporation,Lefhov Parkway 032,10621238387,62573856,2429388
Comcast Corp.,Dabzec Manor 529,10647159118,55743702,946973452
Gentek Inc.,Raomo Key 133,20435625679,24978688,961834828
Veritas Software Corporation,Bovka Extension 938,20485733341,07050074,983694832
Valero Energy Corporation,Zame River 800,20298138366,04353366,982699764
